   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    22/18   20.542    0.934   41.253    2.292 {built-in method posix.read}
        3    0.152    0.051    0.152    0.051 {built-in method numpy.array}
       45    0.113    0.003    0.113    0.003 {method 'poll' of 'select.poll' objects}
        1    0.059    0.059    0.210    0.210 simulate.py:11(generates_portfolios_by_idxs)
       45    0.019    0.000    0.019    0.000 selectors.py:272(close)
        8    0.014    0.002    0.014    0.002 {built-in method posix.fork}
        1    0.013    0.013   20.704   20.704 {method 'acquire' of '_multiprocessing.SemLock' objects}
    20/16    0.006    0.000    0.006    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.004    0.004   20.690   20.690 pool.py:527(_handle_tasks)
      212    0.003    0.000    0.003    0.000 {built-in method posix.waitpid}
        5    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       32    0.001    0.000    0.001    0.000 {built-in method posix.write}
       11    0.001    0.000    0.001    0.000 {built-in method _pickle.loads}
       21    0.001    0.000    0.001    0.000 {method 'dump' of '_pickle.Pickler' objects}
      234    0.000    0.000    0.001    0.000 selectors.py:238(register)
      234    0.000    0.000    0.002    0.000 selectors.py:340(register)
       28    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       45    0.000    0.000    0.115    0.003 connection.py:1134(wait)
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
        8    0.000    0.000    0.015    0.002 popen_fork.py:63(_launch)
        1    0.000    0.000    0.017    0.017 pool.py:314(_repopulate_pool_static)
        8    0.000    0.000    0.000    0.000 process.py:80(__init__)
        8    0.000    0.000    0.016    0.002 process.py:110(start)
        6    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
        8    0.000    0.000    0.016    0.002 context.py:279(_Popen)
      176    0.000    0.000    0.001    0.000 process.py:224(exitcode)
      336    0.000    0.000    0.000    0.000 process.py:247(sentinel)
       21    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
      234    0.000    0.000    0.000    0.000 selectors.py:21(_fileobj_to_fd)
      214    0.000    0.000    0.004    0.000 popen_fork.py:25(poll)
      234    0.000    0.000    0.000    0.000 selectors.py:219(_fileobj_lookup)
        9    0.000    0.000    0.000    0.000 util.py:178(__init__)
      208    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       45    0.000    0.000    0.113    0.003 selectors.py:385(select)
       21    0.000    0.000    0.001    0.000 reduction.py:48(dumps)
      234    0.000    0.000    0.000    0.000 {method 'register' of 'select.poll' objects}
